"Name","Purpose","Quantity","Total Cost (USD)","Link","Distributor"
"Arduino Nano v3.x","Brain of the device","1","5","https://www.ram-e-shop.com/shop/kit-arduino-nano-ch340-arduino-nano-328-with-ch340-chip-clone-8338","Ram electronics"
"1000uF capacitor","Passive component","1","0.1","https://www.ram-e-shop.com/shop/c-1000u50v-capacitor-1000uf-50v-6104","Ram electronics"
"100Uf capacitor","Passive component","1","0.028","https://www.ram-e-shop.com/shop/c-100u50v-capacitor-100uf-50v-6073","Ram electronics"
"","","","","",""
"","","","","",""
"1N5822","Passive component","1","3","https://www.amazon.eg/-/en/5pcs-1N5822-5822-1N582-Diode/dp/B0DWY2S9S8/ref=sr_1_1?crid=WGO5EAAF4PR0&dib=eyJ2IjoiMSJ9.l3sx0ZhazQYWQZio8S4lXnpyp49yRJV9b4coaxZI6Y63ulrxc1aiwqBJ5SJcPIGMGiJdIfu6YQ-s9e37_9kyiPm8LteYjzczBBPyEGXHXS_PcoM6g8Eg900Ks6Q-c45ydB3WZZJIaBHPwNKPMwGjxMIAuwNa4eiko2a1qA8eg6Tegug_qJbzTPcF3GR3b9im5WrBMao9tr_kDcjYTFK-kvypmNy5TV2TWsDWBMZb3EhJa4glEk5loNSFUShFMgc_yo7akgS3SX7cQr3QPC4SAyouYcMK3AZ1sISTvJU6Xas.Eq5YodHmu_sdJ3dhdrq7Bk3XtUrkG_iCg5ioc-Gr7jI&dib_tag=se&keywords=1n5822&qid=1778171299&sprefix=1n5822%2Caps%2C147&sr=8-1","Amazon"
"1.3"" Oled","Displaying temperature","1","1.75","https://www.ram-e-shop.com/shop/oled-1-3-4pin-oled-1-3-4pin-lcd-display-module-i2c-iic-communicate-7794","Ram electronics"
"1N5240B","Zener diode","1","1.5","https://www.amazon.eg/-/en/gp/product/B0CWPCPZN2/ref=ox_sc_act_title_6?smid=A1G5VPUVPXBMQ6&psc=1","Amazon"
"RUEF300","Protection passive component","1","2","https://www.amazon.eg/-/en/gp/product/B0FNLD9RPG/ref=ox_sc_act_title_1?smid=A3TF4AIIHFQJ8B&psc=1","Amazon"
"GX16-5","Connector for soldering iron","1","1","https://www.ram-e-shop.com/shop/gx16-5pin-gx16-5-pole-metal-male-female-panel-chassis-connector-7025","Ram electronics"
"Barrel Jack","Input plug for power","1","1","https://www.amazon.eg/-/en/gp/product/B0D4N6JF7F/ref=ox_sc_act_title_7?smid=A2DMKAT7ZKLGQN&psc=1","Amazon"
"100 uH inductor","Noise reduction","1","1.5","https://www.amazon.eg/-/en/gp/product/B0FF9X6THF/ref=ox_sc_act_title_8?smid=A3TF4AIIHFQJ8B&psc=1","Amazon"
"IRF4905","P Channel mofset for reverse polarity protection","1","2","https://www.amazon.eg/-/en/IRF4905-P-Channel-HEXFET-MOSFET-74A/dp/B09H13NQD4/ref=sr_1_1?crid=L7MNKALMQRYR&dib=eyJ2IjoiMSJ9.exKb64QPgdVj39HjRXSNewTQ1oJffus66t4dp9p9G8TVVijzmAvg0zCrTqpQ3BM2Q-JdZdDFOfv5z2vrUoFSBGvaJBOPIt64jUbEYzrQ_8c6tMTuI4YQR3wQTiNEYTHQfdX6g9CU9k65NkF71sri34rqmtq6zzqkLtpFUllUsXRBCRinRQpfnWPyU0t5-8XlDKmCzJBfB5CxvG6Jbm1uVVPVV3dlqBgc1THIkPEdV6x8EYtTwJFrLlDqj3THrkFTZCcGl16K8NZ9GYm0J0nJTMaMePTvVA3bQu5wYEkgSmw.8JHYYPlPh1OA8QnAfWg0joqMGnTzXDC_B-NL8ryuZew&dib_tag=se&keywords=irf4905&qid=1778170141&sprefix=irf4905%2Caps%2C280&sr=8-1","Amazon"
"IRLZ44N","N channel mosfet for heater control","1","1","https://www.ram-e-shop.com/shop/irlz44-irlz44n-logic-level-gate-n-channel-mosfet-6633","Ram electronics"
"100K Resistor","Passive component","1","0.4","https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=314","Ram electronics"
"10k resistor","Passive component","1","0.019","https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=314","Ram electronics"
"470 Resistor","Passive component","1","0.019","https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=307","Ram electronics"
"3.3K Ohm resistor","Passive component","1","1.5","https://www.amazon.eg/-/en/Resistor-Through-Electronics-Circuit-Projects/dp/B0GYQ2GYK1/ref=sr_1_1?crid=AV4U6MWP9CWW&dib=eyJ2IjoiMSJ9.V6kZVStD9OnWpw48TWUXbjwxewhEW27GiJx2wauqmB3bna26WDtWSJx35M_9249ldR7jIzr8HhbK63jCfkU-jh_yWh5d5YdVXFXdXMnxtaeJXB06tPsGbmGKmTTy0VQnhzJfr--dBuhQg3qUxNqfTP8aB__yRO_z-NAvl-L181NHYhBC390IPXqDiKwgVdpZ5imU3h6dWIbDQb7rDiJlf5QJLjsatnDFBwoWYVeveDwbSkfMpR4CN-YpT7beC6iqDaFYrxc_--hOAUxYqQnirwFCw2YVsBwg5FWcdpdse8Y.QFfX7-hurEFR99kD5l4dnexcjwpiv8eDM1_pRoIw1Zk&dib_tag=se&keywords=3.3k+ohm&qid=1778171104&sprefix=3.3k+ohm%2Caps%2C142&sr=8-1","Amazon"
"2.7K Resistor","Passive component","1","0.019","https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=307","Ram electronics"
"","","","","",""
"2.2K Resistor","Passive component","2","1","https://www.amazon.eg/-/en/Resistor-Through-Electronics-Circuit-Projects/dp/B0GYQ2GYK1/ref=sr_1_1?crid=AV4U6MWP9CWW&dib=eyJ2IjoiMSJ9.V6kZVStD9OnWpw48TWUXbjwxewhEW27GiJx2wauqmB3bna26WDtWSJx35M_9249ldR7jIzr8HhbK63jCfkU-jh_yWh5d5YdVXFXdXMnxtaeJXB06tPsGbmGKmTTy0VQnhzJfr--dBuhQg3qUxNqfTP8aB__yRO_z-NAvl-L181NHYhBC390IPXqDiKwgVdpZ5imU3h6dWIbDQb7rDiJlf5QJLjsatnDFBwoWYVeveDwbSkfMpR4CN-YpT7beC6iqDaFYrxc_--hOAUxYqQnirwFCw2YVsBwg5FWcdpdse8Y.QFfX7-hurEFR99kD5l4dnexcjwpiv8eDM1_pRoIw1Zk&dib_tag=se&keywords=3.3k+ohm&qid=1778171104&sprefix=3.3k+ohm%2Caps%2C142&sr=8-1","Amazon"
"Rotary encoder","Controlling temperature","1","0.5","https://www.ram-e-shop.com/shop/pot-ec11-rotary-5pin-20mm-ec11-rotary-encoder-with-push-button-switch-5pin-20mm-silver-9624","Ram electronics"
"LM2576","Step down converter for the arduino","1","2","https://www.amazon.eg/-/en/gp/product/B0FHHC669J/ref=ox_sc_act_title_7?smid=A3TF4AIIHFQJ8B&psc=1","Amazon"
"LM358","OPAMP for amplifying","1","0.095","https://www.ram-e-shop.com/shop/lm358-copy-lm358p-copy-6130","Ram electronics"
